Year,Mean_Temp_Max,Mean_Temp_Min,Total_Rainfall,Avg_Humidity,Avg_Wind_Speed
2010,31.085534246575342,19.60060273972603,1217.5,63.132246575342464,2.135041095890411
2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,2.1726849315068493
2012,30.363387978142075,18.92530054644809,1653.6,64.28467213114753,2.1391803278688526
2013,31.604109589041094,19.352794520547945,734.67,62.199205479452054,2.0118356164383564
2014,31.558931506849316,19.624356164383563,1176.85,60.19569863013699,2.117369863013699
2015,31.135068493150683,19.172575342465752,1342.28,58.95564383561644,2.3397808219178082
2016,30.29224043715847,18.97243169398907,1495.63,65.97814207650273,2.0670491803278686
2017,30.567013698630134,18.884301369863014,1403.1200000000001,63.15991780821918,2.13441095890411
2018,30.523424657534246,18.987945205479452,1320.49,64.45876712328767,2.0693698630136987
2019,30.790328767123285,19.32249315068493,1283.56,63.90468493150685,2.0906027397260276
2020,29.17699453551913,18.48445355191257,2023.68,70.68942622950819,2.269098360655738
2021,29.51841095890411,18.557123287671235,2435.83,69.92021917808219,2.182109589041096
2022,28.529479452054794,17.924054794520547,1795.32,72.8249589041096,2.2312602739726026
2023,30.15931506849315,18.977205479452056,1312.5,67.80268493150685,2.0015890410958903
2024,30.65002732240437,19.040409836065574,1245.02,64.94956284153005,2.318934426229508
2025,32.14476712328767,19.47186301369863,1028.98,56.82884931506849,2.186
2026,35.08,16.54,0.0,31.28,3.26
