Crop,Year,Area (hectares),Yield,Output (tonnes)
Cassava,2011,39669.22,8,317353.75
Yam,2011,65974.96,8.27,471338.31
Cocoyam,2011,1469.57,5,7347.83
Sweet potato,2011,11494.62,9.58,110172.07
Maize,2011,388189.9,1.86,720924.11
Sorghum,2011,331580.37,1.46,483928.1
Rice,2011,159773.75,2.18,348495.84
Ground nut,2011,55086.04,1.4,77120.45
Cowpea,2011,170998.81,0.79,135741.33
Soyabean,2011,89904.77,1.67,149841.29
Tomato,2011,9908.21,10,99082.14
Onion,2011,2977.92,15.41,45882
Cotton,2011,5027.43,1.02,5138.33
Ginger,2011,49934.98,7.5,374512.33
Sugar cane,2011,31815.37,18.67,593886.86
Yam,2012,69060.56,11.88,820094.12
Cocoyam,2012,1763.48,,
Sweet potato,2012,13220.65,8.39,110906.55
Maize,2012,330879.82,2.38,785839.58
Sorghum,2012,318396.08,1.49,475351.89
Rice,2012,137560.2,2.72,374222.91
Ground nut,2012,74789.05,1.63,122265.55
Cowpea,2012,124543.35,0.86,106952.48
Soyabean,2012,60773.17,1.96,118904.03
Tomato,2012,11317,10.12,114541.75
Onion,2012,4726.85,16.85,79629.32
Cotton,2012,48432.08,10,484320.79
Ginger,2012,48480.56,19.63,951430.99
Cassava,2013,6545,15.94,104306
Yam,2013,41742,19.85,828407
Maize,2013,411455,1.5,616359
Sorghum,2013,333637,1.18,393025
Rice,2013,168531,1.91,321219
Ground nut,2013,88393,1.57,131532
Cowpea,2013,127213,0.73,92484
Soyabean,2013,65449,0.94,61522
Tomato,2013,18786,8.5,159589
Onion,2013,8945,14.12,126281
Ginger,2013,63606,23.34,1484466
Pepper,2013,125565,1.48,185333
Cassava,2014,6675.9,16.09,107435.18
Yam,2014,42576.84,19.51,830879.21
Acha,2014,1610,2.6,4190
Maize,2014,141640,4.38,620400
Sorghum,2014,115560,2.8,318600
Millet,2014,124309.35,1.52,189039.6
Rice,2014,125600,2.5,314000
Ground nut,2014,84076.99,1.6,134162.6
Cowpea,2014,72564.3,1.3,94333.6
Soyabean,2014,32166.33,1.97,63367.66
Tomato,2014,15515,10.59,164376.67
Onion,2014,9423.95,6.7,63140.5
Ginger,2014,42539.13,12.34,524932.86
Sugar cane,2014,69129.54,20.4,1410242.7
Garden egg,2014,811000,8.5,6890000
Okra,2014,13000,2,26000
Cassava,2015,6742.66,16.41,110658.24
Yam,2015,43002.61,19.9,855805.59
Acha,2015,1626.1,2.65,4315.7
Maize,2015,143056.4,4.47,639012
Sorghum,2015,116715.6,2.81,328158
Millet,2015,125552.44,1.55,194710.79
Rice,2015,126856,2.55,323420
Ground nut,2015,84917.76,1.63,138187.48
Cowpea,2015,73289.94,1.33,97163.61
Soyabean,2015,32487.99,2.01,65268.69
Tomato,2015,15670.15,10.8,169307.97
Onion,2015,9518.19,6.83,65034.72
Ginger,2015,42964.52,12.58,540680.85
Sugar cane,2015,69820.84,20.8,1452549.98
Garden egg,2015,819110,8.66,7096700
Okra,2015,13130,2.04,26780
Cassava,2016,6810.09,16.737,113977.98
Yam,2016,43432.63,20.295,881479.75
Acha,2016,1642.36,2.7066,4445.17
Maize,2016,144486.96,4.5553,658182.36
Sorghum,2016,117882.76,2.8673,338002.74
Millet,2016,126807.97,1.5815,200552.11
Rice,2016,128124.56,2.6,333122.6
Ground nut,2016,85766.94,1.6595,142333.1
Cowpea,2016,74022.84,1.352,100078.52
Soyabean,2016,32812.87,2.0488,67226.75
Tomato,2016,15826.85,11.018,174387.21
Onion,2016,9613.37,6.968,66985.76
Ginger,2016,43394.17,12.834,556901.27
Sugar cane,2016,70519.04,21.216,1496126.48
Garden egg,2016,827301.1,8.8355,7309601
Okra,2016,13261.3,2.08,27583.4
Cassava,2021,1.04,122080.7858,127037.76
Yam,2021,45196.17,27.4364961,1240024.64
Acha,2021,1709.05,3.658915056,6253.26
Maize,2021,150353.71,6.158146994,925900.27
Sorghum,2021,122669.27,3.876166452,475486.5
Millet,2021,131956.88,2.138026945,282127.36
Rice,2021,133326.93,3.514828902,468621.35
Ground nut,2021,89249.42,2.243460828,200227.58
Cowpea,2021,77028.47,1.827711223,140785.79
Soyabean,2021,34145.21,2.769684733,94571.46
Tomato,2021,16469.49,14.895414,245319.8
Onion,2021,10003.71,9.419746678,94232.44
Ginger,2021,45156.14,17.34919532,783422.76
Sugar cane,2021,73382.4,28.68100555,2104681.01
Garden egg,2021,860892.84,11.94435074,10282806.06
Okra,2021,13799.76,2.811863121,38803.04
